JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
Acta neurochirurgica. Supplementum	123	0140560	Acta Neurochir Suppl (Wien)	Acta Neurochir Suppl (Wien)		
Acta neurologica	124	0421100	Acta Neurol (Napoli)	Acta Neurol (Napoli)	0001-6276	
Acta rhumatologica	125	7908064	Acta Rhumatol	Acta Rhumatol	0250-4642	
Acta leprologica	126	0037353	Acta Leprol	Acta Leprol	0001-5938	
Acta microbiologica Hungarica	127	8400270	Acta Microbiol. Hung.	Acta Microbiol Hung	0231-4622	
Acta neurologica Belgica	128	0247035	Acta Neurol Belg	Acta Neurol Belg	0300-9009	2240-2993
Acta neurologica latinoamericana	129	9421556	Acta Neurol Latinoam	Acta Neurol Latinoam	0001-6306	
Acta neurologica. Quaderni	130	7506814	Acta Neurol Quad (Napoli)	Acta Neurol Quad (Napoli)	0515-2976	
Acta neurologica Scandinavica	131	0370336	Acta Neurol. Scand.	Acta Neurol Scand	0001-6314	1600-0404
Acta neurologica Scandinavica. Supplementum	132	0370337	Acta Neurol. Scand., Suppl.	Acta Neurol Scand Suppl	0065-1427	1600-5449
Acta neuropathologica	133	0412041	Acta Neuropathol.	Acta Neuropathol	0001-6322	1432-0533
Acta neuropathologica. Supplementum	134	0370342	Acta Neuropathol Suppl	Acta Neuropathol Suppl	0065-1435	
Acta neurovegetativa	135	0162324	Acta Neuroveg (Wien)	Acta Neuroveg (Wien)	0375-9245	
Acta obstetrica y ginecologica hispano-lusitana	136	0147634	Acta Obstet Ginecol Hisp Lusit	Acta Obstet Ginecol Hisp Lusit	0210-9832	
Acta obstetrica y ginecologica hispano-lusitana. Suplemento	137	0221541	Acta Obstet Ginecol Hisp Lusit Suppl	Acta Obstet Ginecol Hisp Lusit Suppl	0300-8940	
Acta obstetrica et gynaecologica Japonica	138	0202673	Acta Obstet Gynaecol Jpn	Acta Obstet Gynaecol Jpn	0001-6330	
Acta obstetricia et gynecologica Scandinavica	139	0370343	Acta Obstet Gynecol Scand	Acta Obstet Gynecol Scand	0001-6349	1600-0412
Acta obstetricia et gynecologica Scandinavica. Supplement	140	0337655	Acta Obstet Gynecol Scand Suppl	Acta Obstet Gynecol Scand Suppl	0300-8835	
Acta odontologica Scandinavica	141	0370344	Acta Odontol. Scand.	Acta Odontol Scand	0001-6357	1502-3850
Acta odontologica Scandinavica. Supplementum	142	0370345	Acta Odontol Scand Suppl	Acta Odontol Scand Suppl	0365-530X	
Acta odontologica venezolana	143	14540210R	Acta Odontol Venez	Acta Odontol Venez	0001-6365	
Acta oncologica	144	0370346	Acta Oncol (Madr)	Acta Oncol (Madr)	0001-6381	
Acta ophthalmologica	145	0370347	Acta Ophthalmol (Copenh)	Acta Ophthalmol (Copenh)	0001-639X	
Acta ophthalmologica. Supplementum	146	0370350	Acta Ophthalmol. Suppl.	Acta Ophthalmol Suppl	0065-1451	
Acta orthopaedica Belgica	147	2985165R	Acta Orthop Belg	Acta Orthop Belg	0001-6462	
Acta orthopaedica Scandinavica	148	0370352	Acta Orthop Scand	Acta Orthop Scand	0001-6470	
Acta orthopaedica Scandinavica. Supplementum	149	0370353	Acta Orthop Scand Suppl	Acta Orthop Scand Suppl	0300-8827	
Acta oto-laryngologica	150	0370354	Acta Otolaryngol.	Acta Otolaryngol	0001-6489	1651-2251
Acta oto-laryngologica. Supplementum	151	0370355	Acta Otolaryngol Suppl	Acta Otolaryngol Suppl	0365-5237	
Acta oto-rhino-laryngologica Belgica	152	0373057	Acta Otorhinolaryngol Belg	Acta Otorhinolaryngol Belg	0001-6497	
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	153	8213019	Acta Otorhinolaryngol Ital	Acta Otorhinolaryngol Ital	0392-100X	1827-675X
Acta oto-rino-laringologica ibero-americana	154	7610363	Acta Otorinolaryngol Iber Am	Acta Otorinolaryngol Iber Am	0001-6500	
Acta paediatrica Academiae Scientiarum Hungaricae	155	0372634	Acta Paediatr Acad Sci Hung	Acta Paediatr Acad Sci Hung	0001-6527	
Acta paediatrica Belgica	156	0372635	Acta Paediatr Belg	Acta Paediatr Belg	0001-6535	
Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	157	0413547	Nihon Shonika Gakkai Zasshi	Nihon Shonika Gakkai Zasshi	0001-6543	
Acta paediatrica Japonica; Overseas edition	158	0370357	Acta Paediatr Jpn	Acta Paediatr Jpn	0374-5600	
Acta paediatrica Scandinavica	159	0000211	Acta Paediatr Scand	Acta Paediatr Scand	0001-656X	
Acta paediatrica Scandinavica. Supplement	160	0173166	Acta Paediatr Scand Suppl	Acta Paediatr Scand Suppl	0300-8843	
Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	161	16210470R	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	0001-6578	
Acta paedopsychiatrica	162	0400661	Acta Paedopsychiatr	Acta Paedopsychiatr	0001-6586	
Series paedopsychiatrica	163	0036662	Ser Paedopsychiatr	Ser Paedopsychiatr	0080-9012	
Acta pathologica japonica	164	0372637	Acta Pathol. Jpn.	Acta Pathol Jpn	0001-6632	
Acta pathologica et microbiologica Scandinavica	165	7508471	Acta Pathol Microbiol Scand	Acta Pathol Microbiol Scand	0365-5555	
Acta pathologica et microbiologica Scandinavica. Section A, Pathology	166	7508468	Acta Pathol Microbiol Scand A	Acta Pathol Microbiol Scand A	0365-4184	
Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	167	7508472	Acta Pathol Microbiol Scand B	Acta Pathol Microbiol Scand B	0105-0656	
Acta pathologica et microbiologica Scandinavica. Section C, Immunology	168	7508469	Acta Pathol Microbiol Scand C	Acta Pathol Microbiol Scand C	0304-1328	
Acta pathologica et microbiologica Scandinavica. Supplement	169	8211440	Acta Pathol Microbiol Scand Suppl	Acta Pathol Microbiol Scand Suppl		
Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement	170	8211441	Acta Pathol Microbiol Immunol Scand Suppl	Acta Pathol Microbiol Immunol Scand Suppl	0108-0172	
Acta pediatrica espanola	171	0405466	Acta Pediatr Esp	Acta Pediatr Esp	0001-6640	2014-2986
Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology	172	8206622	Acta Pathol Microbiol Immunol Scand A	Acta Pathol Microbiol Immunol Scand A	0108-0164	
Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology	173	8206623	Acta Pathol Microbiol Immunol Scand B	Acta Pathol Microbiol Immunol Scand B	0108-0180	
Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology	174	8206624	Acta Pathol Microbiol Immunol Scand C	Acta Pathol Microbiol Immunol Scand C	0108-0202	
Acta pharmaceutica Hungarica	175	0414322	Acta Pharm Hung	Acta Pharm Hung	0001-6659	
Zhongguo yao li xue bao = Acta pharmacologica Sinica	176	8100330	Zhongguo Yao Li Xue Bao	Zhongguo Yao Li Xue Bao	0253-9756	
Yao xue xue bao = Acta pharmaceutica Sinica	177	21710340R	Yao Xue Xue Bao	Yao Xue Xue Bao	0513-4870	
Acta pharmaceutica Suecica	178	0000216	Acta Pharm. Suec.	Acta Pharm Suec	0001-6675	
Acta pharmacologica et toxicologica	179	0370572	Acta Pharmacol Toxicol (Copenh)	Acta Pharmacol Toxicol (Copenh)	0001-6683	
Acta physiologica Academiae Scientiarum Hungaricae	180	0371156	Acta Physiol Acad Sci Hung	Acta Physiol Acad Sci Hung	0001-6756	
Acta physiologica Hungarica	181	8309201	Acta Physiol Hung	Acta Physiol Hung	0231-424X	1588-2683
Acta physiologica latino americana	182	0060610	Acta Physiol Lat Am	Acta Physiol Lat Am	0001-6764	
Acta physiologica et pharmacologica Bulgarica	183	7512568	Acta Physiol Pharmacol Bulg	Acta Physiol Pharmacol Bulg	0323-9950	
Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	184	8409686	Acta Physiol Pharmacol Latinoam	Acta Physiol Pharmacol Latinoam	0326-6656	
Acta physiologica et pharmacologica Neerlandica	185	14610130R	Acta Physiol Pharmacol Neerl	Acta Physiol Pharmacol Neerl	0001-6748	
Acta physiologica Polonica	186	2985166R	Acta Physiol Pol	Acta Physiol Pol	0044-6033	
Acta physiologica Scandinavica	187	0370362	Acta Physiol. Scand.	Acta Physiol Scand	0001-6772	1365-201X
Acta physiologica Scandinavica. Supplementum	188	0376307	Acta Physiol Scand Suppl	Acta Physiol Scand Suppl	0302-2994	
Acta poloniae pharmaceutica	189	2985167R	Acta Pol Pharm	Acta Pol Pharm	0001-6837	
Acta psiquiatrica y psicologica de America latina	190	0373060	Acta Psiquiatr Psicol Am Lat	Acta Psiquiatr Psicol Am Lat	0001-6896	
Acta psychiatrica Belgica	191	0247037	Acta Psychiatr Belg	Acta Psychiatr Belg	0300-8967	
Acta psychiatrica Scandinavica	192	0370364	Acta Psychiatr Scand	Acta Psychiatr Scand	0001-690X	1600-0447
Acta psychiatrica Scandinavica. Supplementum	193	0370365	Acta Psychiatr Scand Suppl	Acta Psychiatr Scand Suppl	0065-1591	1600-5473
Acta psychologica	194	0370366	Acta Psychol (Amst)	Acta Psychol (Amst)	0001-6918	1873-6297
Acta rhumatologica Belgica	195	7903226	Acta Rhumatol Belg	Acta Rhumatol Belg	0378-9497	
Acta radiologica: diagnosis	196	0370367	Acta Radiol Diagn (Stockh)	Acta Radiol Diagn (Stockh)	0567-8056	
Acta radiologica. Supplementum	197	0370370	Acta Radiol Suppl	Acta Radiol Suppl	0365-5954	
Acta radiologica: therapy, physics, biology	198	0000201	Acta Radiol Ther Phys Biol	Acta Radiol Ther Phys Biol	0567-8064	
Acta radiologica: oncology, radiation, physics, biology	199	7805897	Acta Radiol Oncol Radiat Phys Biol	Acta Radiol Oncol Radiat Phys Biol	0348-5196	
Acta radiologica. Oncology	200	8209606	Acta Radiol Oncol	Acta Radiol Oncol	0349-652X	
Acta medica Iranica	201	14540050R	Acta Med Iran	Acta Med Iran	0044-6025	1735-9694
Acta rheumatologica Scandinavica	202	0321403	Acta Rheumatol Scand	Acta Rheumatol Scand	0001-6934	
Acta Scholae Medicinalis Universitatis in Kioto	203	7611898	Acta Sch Med Univ Kioto	Acta Sch Med Univ Kioto	0001-6950	
Acta Societatis Medicorum Upsaliensis	204	0332127	Acta Soc Med Ups	Acta Soc Med Ups	0001-6985	
Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	205	8807267	Acta Stomatol Int	Acta Stomatol Int	0255-4410	
Nippon Ganka Gakkai zasshi	206	7505716	Nippon Ganka Gakkai Zasshi	Nippon Ganka Gakkai Zasshi	0029-0203	
Acta socio-medica Scandinavica	207	2985168R	Acta Sociomed Scand	Acta Sociomed Scand	0044-6041	
Acta stomatologica Belgica	208	0421026	Acta Stomatol Belg	Acta Stomatol Belg	0001-7000	
Acta stomatologica Croatica	209	0253456	Acta Stomatol Croat	Acta Stomatol Croat	0001-7019	
Acta theriologica	210	0314001	Acta Theriol.	Acta Theriol (Warsz)	0001-7051	2190-3743
Acta tropica	211	0370374	Acta Trop.	Acta Trop	0001-706X	1873-6254
Acta tropica. Supplementum	212	7611896	Acta Trop Suppl	Acta Trop Suppl	0365-1541	
Acta tuberculosea et pneumologica Belgica	213	0370376	Acta Tuberc Pneumol Belg	Acta Tuberc Pneumol Belg	0001-7078	
Acta tuberculosea Japonica	214	0157725	Acta Tuberc Jpn	Acta Tuberc Jpn	0567-8161	
Acta tuberculosea et pneumologica Scandinavica	215	0064362	Acta Tuberc Pneumol Scand	Acta Tuberc Pneumol Scand	0365-7531	
Acta Universitatis Carolinae. Medica	216	2985169R	Acta Univ Carol Med (Praha)	Acta Univ Carol Med (Praha)	0001-7116	
Acta Universitatis Carolinae. Medica. Monographia	217	0177667	Acta Univ Carol Med Monogr	Acta Univ Carol Med Monogr	0567-8250	
Acta urologica Belgica	218	0377045	Acta Urol Belg	Acta Urol Belg	0001-7183	
Hinyokika kiyo. Acta urologica Japonica	219	0421145	Hinyokika Kiyo	Hinyokika Kiyo	0018-1994	
Acta veterinaria Academiae Scientiarum Hungaricae	220	0370377	Acta Vet Acad Sci Hung	Acta Vet Acad Sci Hung	0001-7205	
Acta veterinaria Hungarica	221	8406376	Acta Vet. Hung.	Acta Vet Hung	0236-6290	
Acta veterinaria Scandinavica	222	0370400	Acta Vet. Scand.	Acta Vet Scand	0044-605X	1751-0147
Acta veterinaria Scandinavica. Supplementum	223	0061331	Acta Vet Scand Suppl	Acta Vet Scand Suppl	0065-1699	
Acta virologica	224	0370401	Acta Virol.	Acta Virol	0001-723X	1336-2305
Acta vitaminologica et enzymologica	225	0135063	Acta Vitaminol. Enzymol.	Acta Vitaminol Enzymol	0300-8924	
Acta zoologica et pathologica Antverpiensia	226	0100314	Acta Zool Pathol Antverp	Acta Zool Pathol Antverp	0001-7280	
The African journal of psychiatry	228	7802295	Afr J Psychiatry	Afr J Psychiatry	0331-0175	
Actas dermo-sifiliograficas	229	0373062	Actas Dermosifiliogr	Actas Dermosifiliogr	0001-7310	1578-2190
Actas urologicas espanolas	230	7704993	Actas Urol Esp	Actas Urol Esp	0210-4806	1699-7980
Acta Universitatis Palackianae Olomucensis Facultatis Medicae	231	0363112	Acta Univ Palacki Olomuc Fac Med	Acta Univ Palacki Olomuc Fac Med	0301-2514	
Actas luso-espanolas de neurologia, psiquiatria y ciencias afines	232	0355573	Actas Luso Esp Neurol Psiquiatr Cienc Afines	Actas Luso Esp Neurol Psiquiatr Cienc Afines	0300-5062	
Actas luso-espanolas de neurologia y psiquiatria	234	0355646	Actas Luso Esp Neurol Psiquiatr	Actas Luso Esp Neurol Psiquiatr	0001-7329	
Actualites cardiologiques et angeiologiques internationales	235	0143027	Actual Cardiol Angeiol Int (Paris)	Actual Cardiol Angeiol Int (Paris)	0365-1045	
Actualites endocrinologiques	236	0370405	Actual Endocrinol (Paris)	Actual Endocrinol (Paris)	0065-1826	
Actualites hepato-gastro-enterologiques	237	0264367	Actual Hepatogastroenterol (Paris)	Actual Hepatogastroenterol (Paris)	0240-8007	
Actualites neurophysiologiques	238	7513548	Actual Neurophysiol (Paris)	Actual Neurophysiol (Paris)	0567-882X	
